product Id, product Name, Price Per Metre, Sample Price, Delivery Price
243,Beaucaire,285.00,6.00,30.00
244,Orleans,342.00,6.00,30.00
245,Chambord,342.00,6.00,30.00
246,Amboise,342.00,6.00,30.00
247,Georgiana,399.00,6.00,30.00
248,Emma,355.00,6.00,30.00
249,Temara,369.00,6.00,30.00
250,Safi,369.00,6.00,30.00
251,Bukhara,369.00,6.00,30.00
252,Letitia,282.00,6.00,30.00
253,Arabella,356.00,6.00,30.00
254,Ashok,356.00,6.00,30.00
255,Athena,339.00,6.00,30.00
256,Begum,464.00,6.00,30.00
257,Bolton,376.00,6.00,30.00
258,Carla,329.00,6.00,30.00
259,Ciara,356.00,6.00,30.00
260,Cosmo,377.00,6.00,30.00
261,Ella May Cotton,279.00,6.00,30.00
262,Ella May Linen,381.00,6.00,30.00
263,Gobi,370.00,6.00,30.00
264,Haveli,351.00,6.00,30.00
265,Helena ,376.00,6.00,30.00
266,Hemant ,334.00,6.00,30.00
267,Indira Stripe,423.00,6.00,30.00
268,Jamawar,370.00,6.00,30.00
269,Kalindi,370.00,6.00,30.00
270,Karlstad,376.00,6.00,30.00
271,Kenil,359.00,6.00,30.00
272,Killi,359.00,6.00,30.00
273,Latika,419.00,6.00,30.00
274,Lucknow,333.00,6.00,30.00
275,Lucknow Stripe,333.00,6.00,30.00
276,Malia,338.00,6.00,30.00
277,Mallika,337.00,6.00,30.00
278,Mander,359.00,6.00,30.00
279,Mughal,410.00,6.00,30.00
280,Nankeeng,351.00,6.00,30.00
281,Pasha,381.00,6.00,30.00
282,Pasha Sprig,346.00,6.00,30.00
283,Pink Petal,381.00,6.00,30.00
284,Rama,351.00,6.00,30.00
285,Rumeli,381.00,6.00,30.00
286,Sukriti,376.00,6.00,30.00
287,Tika Bamboo,339.00,6.00,30.00
288,Trebizond,395.00,6.00,30.00
289,Turkoman,370.00,6.00,30.00
290,Vasari,377.00,6.00,30.00
291,Vilas,421.00,6.00,30.00
292,Vilika,338.00,6.00,30.00
293,Vine Flower,399.00,6.00,30.00
294,Waverton,421.00,6.00,30.00
295,Yasmina,377.00,6.00,30.00
296,Amelia,238.00,6.00,30.00
297,Auricula,238.00,6.00,30.00
298,Blackwell,226.00,6.00,30.00
299,Bowness,262.00,6.00,30.00
300,Byron - Handblock,465.00,6.00,30.00
301,Camilla,212.00,6.00,30.00
302,Caroline,226.00,6.00,30.00
303,Elizabeth,216.00,6.00,30.00
304,Essential,135.00,6.00,30.00
305,Fern Stripe,212.00,6.00,30.00
306,Fernbrook,263.00,6.00,30.00
307,Geisha,237.00,6.00,30.00
308,Georgia,237.00,6.00,30.00
309,Geraldine,220.00,6.00,30.00
310,Heale House - Chintz,242.00,6.00,30.00
311,Heather & Hortensia,251.00,6.00,30.00
312,Hollyhock Handblock,549.00,6.00,30.00
313,Hydrangea and Rose,249.00,6.00,30.00
314,Jean,263.00,6.00,30.00
315,Jubilee,212.00,6.00,30.00
316,Jubilee Bouquet,285.00,6.00,30.00
317,Kingsberry,250.00,6.00,30.00
318,Lilac & Rose,286.00,6.00,30.00
319,Lily & Auricula - Handblock,555.00,6.00,30.00
320,Manon,226.00,6.00,30.00
321,Mansfield,234.00,6.00,30.00
322,Nuts & Berries,217.00,6.00,30.00
323,Oleander,230.00,6.00,30.00
324,Polyanthus,238.00,6.00,30.00
325,Radclyffe Stripe,221.00,6.00,30.00
326,Rhododendron Sprig,272.00,6.00,30.00
327,Rose and Fern - Handblock,581.00,6.00,30.00
328,Versailles,286.00,6.00,30.00
329,Westminster - Handblock,498.00,6.00,30.00
330,Wildflower Stripe,217.00,6.00,30.00
331,Willa - Handblock,539.00,6.00,30.00
332,Wisteria,238.00,6.00,30.00
333,Antibes,443.00,6.00,30.00
334,Bannister Hall,443.00,6.00,30.00
335,Batons,443.00,6.00,30.00
336,Blue Passion,443.00,6.00,30.00
337,Boutons de Rose,443.00,6.00,30.00
338,Calvieres,399.00,6.00,30.00
339,Chateurenard,399.00,6.00,30.00
340,Crayford,443.00,6.00,30.00
341,Crecy,399.00,6.00,30.00
342,de Beautiran,443.00,6.00,30.00
343,de Mainville,443.00,6.00,30.00
344,Grandes,443.00,6.00,30.00
345,Indigo Ribbon,399.00,6.00,30.00
346,Indigo Urns,399.00,6.00,30.00
347,Iris & Pineapple,443.00,6.00,30.00
348,Jura,399.00,6.00,30.00
349,Lambesc,399.00,6.00,30.00
